date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:49:29	55269/55269	---M--	200	added ('OK')	image/jpeg	date:Sun,%2021%20May%202017%2002:04:08%20GMT	https://team90degree.com/html/tf/bestshop-new-demo/bestshop-demo/img/p2.jpg	C:/Users/manyi/Desktop/Projects/MyProjects/eskom%20waste%20site%202/team90degree.com/html/tf/bestshop-new-demo/bestshop-demo/img/p2.jpg	(from https://team90degree.com/html/tf/bestshop-new-demo/bestshop-demo/index.html)
18:49:30	38664/38664	---M--	200	added ('OK')	image/jpeg	date:Sun,%2021%20May%202017%2002:04:08%20GMT	https://team90degree.com/html/tf/bestshop-new-demo/bestshop-demo/img/p3.jpg	C:/Users/manyi/Desktop/Projects/MyProjects/eskom%20waste%20site%202/team90degree.com/html/tf/bestshop-new-demo/bestshop-demo/img/p3.jpg	(from https://team90degree.com/html/tf/bestshop-new-demo/bestshop-demo/index.html)
18:49:31	33357/33357	---M--	200	added ('OK')	image/jpeg	date:Sun,%2021%20May%202017%2002:04:08%20GMT	https://team90degree.com/html/tf/bestshop-new-demo/bestshop-demo/img/p4.jpg	C:/Users/manyi/Desktop/Projects/MyProjects/eskom%20waste%20site%202/team90degree.com/html/tf/bestshop-new-demo/bestshop-demo/img/p4.jpg	(from https://team90degree.com/html/tf/bestshop-new-demo/bestshop-demo/index.html)
18:49:33	62601/62601	---M--	200	added ('OK')	image/jpeg	date:Sun,%2021%20May%202017%2002:04:08%20GMT	https://team90degree.com/html/tf/bestshop-new-demo/bestshop-demo/img/p6.jpg	C:/Users/manyi/Desktop/Projects/MyProjects/eskom%20waste%20site%202/team90degree.com/html/tf/bestshop-new-demo/bestshop-demo/img/p6.jpg	(from https://team90degree.com/html/tf/bestshop-new-demo/bestshop-demo/index.html)
18:49:34	99648/99648	---M--	200	added ('OK')	image/jpeg	date:Sun,%2021%20May%202017%2002:04:08%20GMT	https://team90degree.com/html/tf/bestshop-new-demo/bestshop-demo/img/p5.jpg	C:/Users/manyi/Desktop/Projects/MyProjects/eskom%20waste%20site%202/team90degree.com/html/tf/bestshop-new-demo/bestshop-demo/img/p5.jpg	(from https://team90degree.com/html/tf/bestshop-new-demo/bestshop-demo/index.html)
18:49:34	95536/95536	---M--	200	added ('OK')	image/jpeg	date:Sun,%2021%20May%202017%2002:04:08%20GMT	https://team90degree.com/html/tf/bestshop-new-demo/bestshop-demo/img/p7.jpg	C:/Users/manyi/Desktop/Projects/MyProjects/eskom%20waste%20site%202/team90degree.com/html/tf/bestshop-new-demo/bestshop-demo/img/p7.jpg	(from https://team90degree.com/html/tf/bestshop-new-demo/bestshop-demo/index.html)
18:49:36	109293/109293	---M--	200	added ('OK')	image/jpeg	date:Sun,%2021%20May%202017%2002:04:08%20GMT	https://team90degree.com/html/tf/bestshop-new-demo/bestshop-demo/img/p10.jpg	C:/Users/manyi/Desktop/Projects/MyProjects/eskom%20waste%20site%202/team90degree.com/html/tf/bestshop-new-demo/bestshop-demo/img/p10.jpg	(from https://team90degree.com/html/tf/bestshop-new-demo/bestshop-demo/index.html)
18:49:36	107230/107230	---M--	200	added ('OK')	image/jpeg	date:Sun,%2021%20May%202017%2002:04:08%20GMT	https://team90degree.com/html/tf/bestshop-new-demo/bestshop-demo/img/p8.jpg	C:/Users/manyi/Desktop/Projects/MyProjects/eskom%20waste%20site%202/team90degree.com/html/tf/bestshop-new-demo/bestshop-demo/img/p8.jpg	(from https://team90degree.com/html/tf/bestshop-new-demo/bestshop-demo/index.html)
18:49:36	131399/131399	---M--	200	added ('OK')	image/jpeg	date:Sun,%2021%20May%202017%2002:04:08%20GMT	https://team90degree.com/html/tf/bestshop-new-demo/bestshop-demo/img/p9.jpg	C:/Users/manyi/Desktop/Projects/MyProjects/eskom%20waste%20site%202/team90degree.com/html/tf/bestshop-new-demo/bestshop-demo/img/p9.jpg	(from https://team90degree.com/html/tf/bestshop-new-demo/bestshop-demo/index.html)
18:49:37	5231/5231	---M--	200	added ('OK')	image/png	date:Fri,%2001%20Dec%202017%2020:24:34%20GMT	https://team90degree.com/html/tf/bestshop-new-demo/bestshop-demo/img/user.png	C:/Users/manyi/Desktop/Projects/MyProjects/eskom%20waste%20site%202/team90degree.com/html/tf/bestshop-new-demo/bestshop-demo/img/user.png	(from https://team90degree.com/html/tf/bestshop-new-demo/bestshop-demo/index.html)
18:49:39	65919/65919	---M--	200	added ('OK')	image/png	date:Sun,%2021%20May%202017%2002:04:08%20GMT	https://team90degree.com/html/tf/bestshop-new-demo/bestshop-demo/img/add4.png	C:/Users/manyi/Desktop/Projects/MyProjects/eskom%20waste%20site%202/team90degree.com/html/tf/bestshop-new-demo/bestshop-demo/img/add4.png	(from https://team90degree.com/html/tf/bestshop-new-demo/bestshop-demo/index.html)
18:49:39	78841/78841	---M--	200	added ('OK')	image/png	date:Sun,%2021%20May%202017%2002:04:08%20GMT	https://team90degree.com/html/tf/bestshop-new-demo/bestshop-demo/img/user2.png	C:/Users/manyi/Desktop/Projects/MyProjects/eskom%20waste%20site%202/team90degree.com/html/tf/bestshop-new-demo/bestshop-demo/img/user2.png	(from https://team90degree.com/html/tf/bestshop-new-demo/bestshop-demo/index.html)
18:49:40	85578/85578	---M--	200	added ('OK')	application/javascript	date:Wed,%2015%20Feb%202017%2023:25:28%20GMT	https://team90degree.com/html/tf/bestshop-new-demo/bestshop-demo/js/vendor/jquery-2.2.4.min.js	C:/Users/manyi/Desktop/Projects/MyProjects/eskom%20waste%20site%202/team90degree.com/html/tf/bestshop-new-demo/bestshop-demo/js/vendor/jquery-2.2.4.min.js	(from https://team90degree.com/html/tf/bestshop-new-demo/bestshop-demo/index.html)
18:49:41	78313/78313	---M--	200	added ('OK')	application/javascript	date:Sat,%2028%20Jan%202017%2019:21:08%20GMT	https://team90degree.com/html/tf/bestshop-new-demo/bestshop-demo/js/vendor/swiper.min.js	C:/Users/manyi/Desktop/Projects/MyProjects/eskom%20waste%20site%202/team90degree.com/html/tf/bestshop-new-demo/bestshop-demo/js/vendor/swiper.min.js	(from https://team90degree.com/html/tf/bestshop-new-demo/bestshop-demo/index.html)
18:49:41	37051/37051	---M--	200	added ('OK')	application/javascript	date:Sat,%2028%20Jan%202017%2019:20:56%20GMT	https://team90degree.com/html/tf/bestshop-new-demo/bestshop-demo/js/vendor/bootstrap.min.js	C:/Users/manyi/Desktop/Projects/MyProjects/eskom%20waste%20site%202/team90degree.com/html/tf/bestshop-new-demo/bestshop-demo/js/vendor/bootstrap.min.js	(from https://team90degree.com/html/tf/bestshop-new-demo/bestshop-demo/index.html)
18:49:41	0/0	---M--	200	added ('OK')	application/javascript	date:Sat,%2028%20Jan%202017%2019:21:00%20GMT	https://team90degree.com/html/tf/bestshop-new-demo/bestshop-demo/js/vendor/jquery.inview.js	C:/Users/manyi/Desktop/Projects/MyProjects/eskom%20waste%20site%202/team90degree.com/html/tf/bestshop-new-demo/bestshop-demo/js/vendor/jquery.inview.js	(from https://team90degree.com/html/tf/bestshop-new-demo/bestshop-demo/index.html)
